"","Entity","avg_yield","sd"
"110","Algeria",2.00563275862069,1.47371627377006
"111","Suriname",1.99979482758621,0.407013449246476
"112","Pakistan",1.99183103448276,1.18163179829389
"113","Myanmar",1.84494137931034,1.06535836126011
"114","Colombia",1.84388448275862,0.763479292749152
"115","Nepal",1.84207931034483,0.319837837068363
"116","Djibouti",1.82742631578947,0.277787479223033
"117","Sao Tome and Principe",1.81976551724138,0.325264253461016
"118","Bhutan",1.77179655172414,0.777247855197397
"119","Bolivia",1.75288793103448,0.495097247253254
"121","Puerto Rico",1.71479827586207,1.01694601341836
"122","Afghanistan",1.7079,0.382361454326121
"123","Comoros",1.7026775862069,0.550446674455058
"124","Guatemala",1.68173275862069,0.445196816868844
"125","Zambia",1.67344137931034,0.627292046211467
"126","Costa Rica",1.65747931034483,0.316661267779621
"128","India",1.59888620689655,0.605019495538657
"129","Yemen",1.58113793103448,0.446605055253633
"130","Uganda",1.55466379310345,0.485416995523699
"131","Kenya",1.55073448275862,0.260572321207668
"132","Africa",1.54128103448276,0.314547036873547
"134","Gabon",1.53274137931034,0.0604299102033664
"135","Philippines",1.52788275862069,0.784799123507999
"136","Turkmenistan",1.51602222222222,0.994888442657434
"137","Dominican Republic",1.51426034482759,0.203618140145642
"138","Libya",1.51239827586207,0.540551092896928
"140","Cameroon",1.48945689655172,0.563125098784833
"141","Cuba",1.48838448275862,0.658416735947715
"143","Ecuador",1.44885689655172,0.903352729599247
"144","Mali",1.44368965517241,0.6470424511385
"145","Timor",1.42176206896552,0.458875185731213
"146","Sri Lanka",1.41372413793103,0.932813262053708
"147","Honduras",1.38202413793103,0.248731690367559
"148","Dominica",1.36551724137931,0.116378213035987
"149","Sudan",1.36431428571429,0.208769006548477
"150","Eastern Africa",1.35369482758621,0.262115816388189
"151","Namibia",1.34244655172414,0.452291363635743
"152","Ghana",1.33194482758621,0.343468816824281
"153","Guyana",1.33051896551724,0.368315808644099
"154","Malawi",1.32993448275862,0.436830462336553
"155","Nigeria",1.30475862068966,0.354075379542357
"156","Micronesia (country)",1.30308214285714,0.107311247049814
"158","Cote d'Ivoire",1.28996206896552,0.650826223290027
"159","Panama",1.28959482758621,0.461502316970639
"160","Tanzania",1.2734224137931,0.489351700038851
"161","Rwanda",1.25670172413793,0.455453915280507
"163","Jamaica",1.23537586206897,0.256869048015114
"165","Guinea",1.20886379310345,0.196267899349803
"166","Swaziland",1.2041724137931,0.452719071247572
"167","Western Africa",1.20151379310345,0.348319901586889
"168","Zimbabwe",1.19392931034483,0.509508742072831
"169","Madagascar",1.18545344827586,0.299695353630818
"170","Burkina Faso",1.16986379310345,0.469715449771222
"171","Senegal",1.16848965517241,0.44332848764915
"172","Burundi",1.16448103448276,0.141959704508618
"174","Nicaragua",1.14012068965517,0.22530821677623
"175","Gambia",1.13420689655172,0.339645222983428
"176","Caribbean",1.11339137931034,0.170477643010704
"177","Chad",1.10351896551724,0.401393877721865
"178","Sierra Leone",1.01226896551724,0.377142502365007
"179","Somalia",1.00654827586207,0.302941336015986
"180","Togo",0.996762068965517,0.255553759117633
"181","Grenada",0.956463793103448,0.0662686496710141
"182","Benin",0.929139655172414,0.290999019676202
"183","Guinea-Bissau",0.887463793103448,0.204392120301885
"184","Haiti",0.868106896551724,0.113144809963951
"186","Central African Republic",0.812660344827586,0.30914759941562
"187","Lesotho",0.787810344827586,0.232329821280049
"188","Niger",0.770139655172414,0.310976530924512
"189","Democratic Republic of Congo",0.769579310344828,0.0504010782348486
"190","Mozambique",0.755281034482759,0.268866571263091
"191","Congo",0.745827586206897,0.127305125643566
"192","Sudan (former)",0.738043137254902,0.362041368495315
"193","Morocco",0.726563793103448,0.268642513192033
"194","Eritrea",0.676061538461538,0.323081406554971
"195","Mauritania",0.646306896551724,0.179375549256027
"196","Angola",0.641810344827586,0.213551445537386
"197","South Sudan",0.522885714285714,0.198710504910799
"198","Vanuatu",0.521613793103448,0.0400672918549285
"199","Cape Verde",0.36916724137931,0.195941977974622
"200","Botswana",0.337425862068966,0.226830880320091
